# CPU Intensive Workload Trace
# Format: ProcessID, ArrivalTime, CPUBurst, IOBurst, Priority
# Generated for CPU Scheduler Simulation Project

1,0,120,15,1
2,10,95,10,2
3,25,150,20,1
4,40,110,12,3
5,55,135,18,2
6,70,125,16,1
7,85,140,22,3
8,100,105,14,2
9,115,130,17,1
10,130,145,21,3
11,150,115,13,2
12,170,155,25,1
13,190,100,11,3
14,210,160,26,2
15,230,140,20,1
16,250,125,16,3
17,270,135,18,2
18,290,150,22,1
19,310,110,14,3
20,330,170,28,2
21,350,120,15,1
22,370,130,17,3
23,390,145,21,2
24,410,155,24,1
25,430,115,13,3
26,450,165,27,2
27,470,125,16,1
28,490,135,18,3
29,510,175,29,2
30,530,140,20,1
