# I/O Intensive Workload Trace
# Format: ProcessID, ArrivalTime, CPUBurst, IOBurst, Priority
# Generated for CPU Scheduler Simulation Project

1,0,25,80,5
2,15,15,120,6
3,30,30,90,4
4,45,20,150,7
5,60,35,70,5
6,75,10,180,8
7,90,40,60,4
8,105,18,130,6
9,120,28,100,5
10,135,12,200,9
11,155,32,85,4
12,175,8,170,7
13,195,45,55,3
14,215,22,140,6
15,235,38,75,5
16,255,14,160,8
17,275,42,65,4
18,295,26,110,6
19,315,19,125,7
20,335,48,50,3
21,360,16,145,8
22,385,34,95,5
23,410,11,175,9
24,435,29,105,6
25,460,21,135,7
26,485,44,58,4
27,510,17,155,8
28,535,36,88,5
29,560,13,165,9
30,585,50,45,3
