# Mixed Workload Trace
# Format: ProcessID, ArrivalTime, CPUBurst, IOBurst, Priority
# Generated for CPU Scheduler Simulation Project

1,0,80,40,2
2,10,120,15,1
3,25,35,90,5
4,40,150,25,1
5,55,20,120,6
6,70,95,30,3
7,85,45,80,4
8,100,130,20,2
9,115,25,110,5
10,130,110,35,3
11,150,60,70,4
12,170,140,18,1
13,190,30,100,5
14,210,160,22,2
15,230,40,85,4
16,250,105,28,3
17,270,50,75,4
18,290,125,32,3
19,310,70,65,4
20,330,180,12,1
21,350,55,78,4
22,370,135,26,2
23,390,65,72,4
24,410,145,24,2
25,430,75,68,4
26,450,155,21,2
27,470,85,58,4
28,490,115,38,3
29,510,90,45,3
30,530,165,19,1
31,555,100,42,3
32,580,45,88,5
33,605,130,34,2
34,630,60,82,4
35,655,140,29,2
36,680,80,62,4
37,705,120,36,3
38,730,95,48,3
39,755,110,40,3
40,780,150,27,2
